Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Shaban Jafari,https://en.wikipedia.org/wiki/Shaban_Jafari,Q5960120,https://www.wikidata.org/wiki/Q5960120,male,politician,Iran,Tehran,1921-03-21T00:00:00Z
Leila Ebrahimi,https://en.wikipedia.org/wiki/Leila_Ebrahimi,Q6519863,https://www.wikidata.org/wiki/Q6519863,female,athletics competitor,Iran,Tehran,1979-04-21T00:00:00Z
Keivan Ghanbarzadeh,https://en.wikipedia.org/wiki/Keivan_Ghanbarzadeh,Q15080061,https://www.wikidata.org/wiki/Q15080061,male,athletics competitor,Iran,Babol,1990-05-26T00:00:00Z
Ali Khadivar,https://en.wikipedia.org/wiki/Ali_Khadivar,Q56229133,https://www.wikidata.org/wiki/Q56229133,male,sprinter,Iran,Kish,1989-11-11T00:00:00Z
Mohsen Rabbani,https://en.wikipedia.org/wiki/Mohsen_Rabbani,Q6894446,https://www.wikidata.org/wiki/Q6894446,male,athletics competitor,Iran,Qom,1983-04-18T00:00:00Z
Hossein Rasouli,https://en.wikipedia.org/wiki/Hossein_Rasouli,Q121085531,https://www.wikidata.org/wiki/Q121085531,male,athletics competitor,,,1999-12-22T00:00:00Z
Ali Samari,https://en.wikipedia.org/wiki/Ali_Samari,Q32518466,https://www.wikidata.org/wiki/Q32518466,male,athletics competitor,Iran,Tehran,1993-01-07T00:00:00Z
Mohammad Samimi,https://en.wikipedia.org/wiki/Mohammad_Samimi,Q2471360,https://www.wikidata.org/wiki/Q2471360,male,athletics competitor,Iran,Shahr-e Kord,1987-03-29T00:00:00Z
Maryam Sedarati,https://en.wikipedia.org/wiki/Maryam_Sedarati,Q17992864,https://www.wikidata.org/wiki/Q17992864,female,athletics competitor,Iran,Mashhad,1950-06-01T00:00:00Z
Mehdi Shahrokhi,https://en.wikipedia.org/wiki/Mehdi_Shahrokhi,Q16212747,https://www.wikidata.org/wiki/Q16212747,male,athletics competitor,Iran,,1985-05-23T00:00:00Z
Maryam Tousi,https://en.wikipedia.org/wiki/Maryam_Tousi,Q6781092,https://www.wikidata.org/wiki/Q6781092,female,athletics competitor,Iran,Borujerd,1988-12-05T00:00:00Z
Mehdi Zamani,https://en.wikipedia.org/wiki/Mehdi_Zamani,Q16199944,https://www.wikidata.org/wiki/Q16199944,male,athletics competitor,Iran,,1989-12-20T00:00:00Z
Template:Iran-athletics-bio-stub,https://en.wikipedia.org/wiki/Template%3AIran-athletics-bio-stub,,,,,,,
Mohammad Akefian,https://en.wikipedia.org/wiki/Mohammad_Akefian,Q3318909,https://www.wikidata.org/wiki/Q3318909,male,athletics competitor,Iran,,1984-05-31T00:00:00Z
