Row_Number,keyword,poi_name,Twitter_username,Twitter_url,source_folder,Twitter_status,Wikipedia_Link
214,Iran candidate,Shahin Najafi 𓃬☼,shahinnajafi80,https://x.com/shahinnajafi80,iranian_singers,active,https://en.wikipedia.org/wiki/Shahin_Najafi
215,Iran candidate,shahrumkashani,shahrumkashani,https://x.com/shahrumkashani,iranian_singers,active,https://en.wikipedia.org/wiki/Shahrum_Kashani
216,Iran candidate,Alireza Soleimanpour,soleimanpour,https://x.com/soleimanpour,Candidates,active,https://en.wikipedia.org/wiki/Alireza_Soleimani
217,Iran candidate,SorayaSarhaddiNelson,sorayanelson,https://x.com/sorayanelson,iranian_journalists,active,https://en.wikipedia.org/wiki/Soraya_Sarhaddi_Nelson
218,Iran activist,Execution of Majid Kazemi,1500tasvir,https://x.com/1500tasvir,iranian_activists,,https://en.wikipedia.org/wiki/Execution_of_Majid_Kazemi
219,Iran activist,Iran hostage crisis,2016,https://x.com/2016,iranian_activists,,https://en.wikipedia.org/wiki/Iran_hostage_crisis
220,Iran activist,Azadeh Shafiq,2020,https://x.com/2020,iranian_activists,,https://en.wikipedia.org/wiki/Azadeh_Shafiq
221,Iran activist,Mahsa Amini protests,2022,https://x.com/2022,iranian_activists,,https://en.wikipedia.org/wiki/Mahsa_Amini_protests
222,Iran activist,Masoud Shojaei,AEK_FC_OFFICIAL,https://x.com/AEK_FC_OFFICIAL,iranian_activists,,https://en.wikipedia.org/wiki/Masoud_Shojaei
223,Iran footballer,Abdulaziz Nasari,ALDERBYSHOW,https://x.com/ALDERBYSHOW,iranian_footballers,,https://en.wikipedia.org/wiki/Abdulaziz_Nasari
224,Iran activist,Alireza Jafarzadeh,A_Jafarzadeh,https://x.com/A_Jafarzadeh,iranian_activists,,https://en.wikipedia.org/wiki/Alireza_Jafarzadeh
225,Iran activist,Abdolhamid Ismaeelzahi,AbdolhamidNet,https://x.com/AbdolhamidNet,iranian_activists,,https://en.wikipedia.org/wiki/Abdolhamid_Ismaeelzahi
226,Iran activist,Adil Abdul-Mahdi,AdilAbdAlMahdi,https://x.com/AdilAbdAlMahdi,iranian_activists,,https://en.wikipedia.org/wiki/Adil_Abdul-Mahdi
227,Iran footballer,Mehdi Ghayedi,AlBayanSports,https://x.com/AlBayanSports,iranian_footballers,,https://en.wikipedia.org/wiki/Mehdi_Ghayedi
228,Iran activist,Pouya Bakhtiari,AlinejadMasih,https://x.com/AlinejadMasih,iranian_activists,,https://en.wikipedia.org/wiki/Pouya_Bakhtiari
229,Iran wrestler,Ariya Daivari,AriyaDaivariWWE,https://x.com/AriyaDaivariWWE,iranian_wrestlers,,https://en.wikipedia.org/wiki/Ariya_Daivari
230,Iran activist,Arzhang Davoodi,ArzhangDavoodi,https://x.com/ArzhangDavoodi,iranian_activists,,https://en.wikipedia.org/wiki/Arzhang_Davoodi
231,Iran footballer,Reza Ghoochannejhad,CAFCofficial,https://x.com/CAFCofficial,iranian_footballers,,https://en.wikipedia.org/wiki/Reza_Ghoochannejhad
232,Iran footballer,Steven Beitashour,ColoradoRapids,https://x.com/ColoradoRapids,iranian_footballers,,https://en.wikipedia.org/wiki/Steven_Beitashour
233,Iran footballer,"Ali Karimi (footballer, born 1994)",CroSports_,https://x.com/CroSports_,iranian_footballers,,https://en.wikipedia.org/wiki/Ali_Karimi_%28footballer%2C_born_1994%29
234,Iran activist,Abu Muslim al-Turkmani,DanieleRaineri,https://x.com/DanieleRaineri,iranian_activists,,https://en.wikipedia.org/wiki/Abu_Muslim_al-Turkmani
235,Iran footballer,Amir Reza Nasr Azadani,FIFPRO,https://x.com/FIFPRO,iranian_footballers,,https://en.wikipedia.org/wiki/Amir_Reza_Nasr_Azadani
236,Iran taekwondo practitioner,Parisa Farshidi,FarshidiParisa,https://x.com/FarshidiParisa,iranian_taekwondo_practitioners,,https://en.wikipedia.org/wiki/Parisa_Farshidi
237,Iran activist,MAHSA Act,HRANA_English,https://x.com/HRANA_English,iranian_activists,,https://en.wikipedia.org/wiki/MAHSA_Act
238,Iran activist,Haider al-Abadi,HaiderAlAbadi,https://x.com/HaiderAlAbadi,iranian_activists,,https://en.wikipedia.org/wiki/Haider_al-Abadi
239,Iran activist,Iran–PJAK conflict,Hengaw_English,https://x.com/Hengaw_English,iranian_activists,,https://en.wikipedia.org/wiki/Iran%E2%80%93PJAK_conflict
240,Iran activist,2022 University of Sharif protests crackdown,HeshmatAlavi,https://x.com/HeshmatAlavi,iranian_activists,,https://en.wikipedia.org/wiki/2022_University_of_Sharif_protests_crackdown
241,Iran activist,Hossein Mahini,HosseinMahini,https://x.com/HosseinMahini,iranian_activists,,https://en.wikipedia.org/wiki/Hossein_Mahini
242,Iran activist,Hossein Ronaghi,HosseinRonaghi,https://x.com/HosseinRonaghi,iranian_activists,,https://en.wikipedia.org/wiki/Hossein_Ronaghi
243,Iran footballer,Hossein Kanaanizadegan,Hossein_kanaani,https://x.com/Hossein_kanaani,iranian_footballers,,https://en.wikipedia.org/wiki/Hossein_Kanaanizadegan
244,Iran wrestler,Hassan Yazdani,Hyazdani_CH,https://x.com/Hyazdani_CH,iranian_wrestlers,,https://en.wikipedia.org/wiki/Hassan_Yazdani
245,Iran activist,Ana Diamond,IAmAnaDiamond,https://x.com/IAmAnaDiamond,iranian_activists,,https://en.wikipedia.org/wiki/Ana_Diamond
246,Iran activist,Ruhollah Zam,IBAHRI,https://x.com/IBAHRI,iranian_activists,,https://en.wikipedia.org/wiki/Ruhollah_Zam
247,Iran activist,Iran Human Rights,ICHRI,https://x.com/ICHRI,iranian_activists,,https://en.wikipedia.org/wiki/Iran_Human_Rights
248,Iran activist,Mandana Khazraei,IranIntl,https://x.com/IranIntl,iranian_activists,,https://en.wikipedia.org/wiki/Mandana_Khazraei
249,Iran activist,Sheema Kalbasi,IranianWoman,https://x.com/IranianWoman,iranian_activists,,https://en.wikipedia.org/wiki/Sheema_Kalbasi
250,Iran activist,Kaveh Madani,KavehMadani,https://x.com/KavehMadani,iranian_activists,,https://en.wikipedia.org/wiki/Kaveh_Madani
251,Iran activist,Peshmerga,KurdistanWatch,https://x.com/KurdistanWatch,iranian_activists,,https://en.wikipedia.org/wiki/Peshmerga
252,Iran footballer,Daniel Arzani,LommelSKOff,https://x.com/LommelSKOff,iranian_footballers,,https://en.wikipedia.org/wiki/Daniel_Arzani
253,Iran activist,Al-Asad Airbase,LucasFoxNews,https://x.com/LucasFoxNews,iranian_activists,,https://en.wikipedia.org/wiki/Al-Asad_Airbase
254,Iran activist,Mehdi Kouchakzadeh,Mahdikouchakof,https://x.com/Mahdikouchakof,iranian_activists,,https://en.wikipedia.org/wiki/Mehdi_Kouchakzadeh
