iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,17,17,17,17,KFold,5,RandomForest,TFIDF_full_name,200,True,0.2745098039215686,0.1828631138975966,0.2745098039215686,0.2185061315496098,
1,target_population,2,50,33,0,33,KFold,5,RandomForest,TFIDF_full_name,200,False,0.6626506024096386,0.8571428571428571,0.1818181818181818,0.3,0.5548484848484849
1,target_population,2,33,33,0,33,KFold,5,RandomForest,TFIDF_full_name,200,True,0.5,0.5,0.4242424242424242,0.4590163934426229,0.4797979797979798
1,target_population,3,50,33,17,17,LOOCV,100,RandomForest,TFIDF_full_name,200,False,0.54,0.4801149425287356,0.54,0.4480656934306569,
1,target_population,3,17,17,17,17,LOOCV,51,RandomForest,TFIDF_full_name,200,True,0.2941176470588235,0.1795366795366795,0.2941176470588235,0.2126642771804062,
1,target_population,2,50,33,0,33,LOOCV,83,RandomForest,TFIDF_full_name,200,False,0.6746987951807228,0.875,0.2121212121212121,0.3414634146341463,0.526060606060606
1,target_population,2,33,33,0,33,LOOCV,66,RandomForest,TFIDF_full_name,200,True,0.4848484848484848,0.4782608695652174,0.3333333333333333,0.3928571428571428,0.4609733700642791
1,target_population,3,50,33,17,17,KFold,5,SVM,TFIDF_full_name,200,False,0.51,0.3898947368421053,0.51,0.3726678765880218,
1,target_population,3,17,17,17,17,KFold,5,SVM,TFIDF_full_name,200,True,0.2352941176470588,0.2477435418611889,0.2352941176470588,0.224896019013666,
1,target_population,2,50,33,0,33,KFold,5,SVM,TFIDF_full_name,200,False,0.6385542168674698,0.8,0.1212121212121212,0.2105263157894736,0.519090909090909
1,target_population,2,33,33,0,33,KFold,5,SVM,TFIDF_full_name,200,True,0.5,0.5,0.4242424242424242,0.4590163934426229,0.5101010101010102
1,target_population,3,50,33,17,17,LOOCV,100,SVM,TFIDF_full_name,200,False,0.55,0.4892307692307692,0.55,0.4418034447821682,
1,target_population,3,17,17,17,17,LOOCV,51,SVM,TFIDF_full_name,200,True,0.0588235294117647,0.1319444444444444,0.0588235294117647,0.0781730346947738,
1,target_population,2,50,33,0,33,LOOCV,83,SVM,TFIDF_full_name,200,False,0.6626506024096386,0.8571428571428571,0.1818181818181818,0.3,0.3296969696969696
1,target_population,2,33,33,0,33,LOOCV,66,SVM,TFIDF_full_name,200,True,0.5909090909090909,0.8,0.2424242424242424,0.3720930232558139,0.2690541781450872
1,target_population,3,50,33,17,17,KFold,5,XGBoost,TFIDF_full_name,200,False,0.55,0.4796629213483146,0.55,0.4503237410071942,
1,target_population,3,17,17,17,17,KFold,5,XGBoost,TFIDF_full_name,200,True,0.2745098039215686,0.1868686868686868,0.2745098039215686,0.2218337218337218,
1,target_population,2,50,33,0,33,KFold,5,XGBoost,TFIDF_full_name,200,False,0.6626506024096386,0.7777777777777778,0.2121212121212121,0.3333333333333333,0.5078787878787879
1,target_population,2,33,33,0,33,KFold,5,XGBoost,TFIDF_full_name,200,True,0.5454545454545454,0.6363636363636364,0.2121212121212121,0.3181818181818182,0.4935720844811754
1,target_population,3,50,33,17,17,LOOCV,100,XGBoost,TFIDF_full_name,200,False,0.55,0.4796629213483146,0.55,0.4503237410071942,
1,target_population,3,17,17,17,17,LOOCV,51,XGBoost,TFIDF_full_name,200,True,0.0392156862745098,0.1333333333333333,0.0392156862745098,0.0606060606060606,
1,target_population,2,50,33,0,33,LOOCV,83,XGBoost,TFIDF_full_name,200,False,0.6626506024096386,0.8571428571428571,0.1818181818181818,0.3,0.2254545454545454
1,target_population,2,33,33,0,33,LOOCV,66,XGBoost,TFIDF_full_name,200,True,0.5454545454545454,0.6363636363636364,0.2121212121212121,0.3181818181818182,0.2112029384756657
1,target_population,3,50,33,17,17,KFold,5,AdaBoost,TFIDF_full_name,200,False,0.52,0.4256382978723404,0.52,0.3910470085470086,
1,target_population,3,17,17,17,17,KFold,5,AdaBoost,TFIDF_full_name,200,True,0.2352941176470588,0.1526881720430107,0.2352941176470588,0.1831831831831831,
1,target_population,2,50,33,0,33,KFold,5,AdaBoost,TFIDF_full_name,200,False,0.6746987951807228,0.875,0.2121212121212121,0.3414634146341463,0.5515151515151515
1,target_population,2,33,33,0,33,KFold,5,AdaBoost,TFIDF_full_name,200,True,0.5151515151515151,0.5172413793103449,0.4545454545454545,0.4838709677419355,0.5321395775941231
