,,,,,,,,accuracy,accuracy,F1,F1,AUC,AUC
,,,,,,,,mean,std,mean,std,mean,std
iteration,data_version,target_column,algorithm,feature_set,training_type,balanced,#classes,,,,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username,LOOCV,False,3,0.4418604651162791,,0.27081770442610653,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username,LOOCV,True,2,0.0,,0.0,,0.0,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username,LOOCV,True,3,0.0,,0.0,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username+full_name,KFold,False,2,0.6551724137931034,,0.7916666666666666,,0.5,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username+full_name,KFold,False,3,0.4186046511627907,,0.2651162790697674,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username+full_name,KFold,True,2,0.45,,0.0,,0.405,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username+full_name,KFold,True,3,0.3,,0.15384615384615385,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username+full_name,LOOCV,False,2,0.6551724137931034,,0.7916666666666666,,0.0,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username+full_name,LOOCV,False,3,0.4418604651162791,,0.27081770442610653,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username+full_name,LOOCV,True,2,0.0,,0.0,,0.0,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username+full_name,LOOCV,True,3,0.0,,0.0,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_bio_len,KFold,False,2,0.6551724137931034,,0.75,,0.5842105263157895,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_bio_len,KFold,False,3,0.46511627906976744,,0.4573130544411555,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_bio_len,KFold,True,2,0.9,,0.9,,0.9,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_bio_len,KFold,True,3,0.6666666666666666,,0.6666666666666666,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_bio_len,LOOCV,False,2,0.6551724137931034,,0.75,,0.5842105263157895,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_bio_len,LOOCV,False,3,0.4883720930232558,,0.47720463950574116,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_bio_len,LOOCV,True,2,0.85,,0.8571428571428571,,0.85,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_bio_len,LOOCV,True,3,0.6333333333333333,,0.6299663299663298,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_followers,KFold,False,2,0.6206896551724138,,0.7317073170731707,,0.5447368421052632,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_followers,KFold,False,3,0.4186046511627907,,0.4158786949484624,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_followers,KFold,True,2,0.55,,0.5714285714285714,,0.55,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_followers,KFold,True,3,0.4,,0.4074074074074074,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_followers,LOOCV,False,2,0.5517241379310345,,0.6666666666666666,,0.4921052631578947,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_followers,LOOCV,False,3,0.37209302325581395,,0.3722766217870257,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_followers,LOOCV,True,2,0.6,,0.6,,0.6,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_followers,LOOCV,True,3,0.4,,0.4074074074074074,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_following,KFold,False,2,0.4827586206896552,,0.5714285714285714,,0.4842105263157894,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_following,KFold,False,3,0.37209302325581395,,0.38587814374408086,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_following,KFold,True,2,0.45,,0.47619047619047616,,0.485,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_following,KFold,True,3,0.4,,0.4063973063973064,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_following,LOOCV,False,2,0.5172413793103449,,0.631578947368421,,0.5447368421052632,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_following,LOOCV,False,3,0.3488372093023256,,0.3535534233208652,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_following,LOOCV,True,2,0.35,,0.38095238095238093,,0.42000000000000004,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_following,LOOCV,True,3,0.3333333333333333,,0.3439153439153439,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_ratio,KFold,False,2,0.6896551724137931,,0.7804878048780488,,0.6210526315789473,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_ratio,KFold,False,3,0.3488372093023256,,0.31853417899929526,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_ratio,KFold,True,2,0.5,,0.5,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_ratio,KFold,True,3,0.26666666666666666,,0.2515151515151515,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_ratio,LOOCV,False,2,0.6896551724137931,,0.7804878048780488,,0.6210526315789473,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_ratio,LOOCV,False,3,0.37209302325581395,,0.36284951996806786,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_ratio,LOOCV,True,2,0.4,,0.4,,0.39999999999999997,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_ratio,LOOCV,True,3,0.2,,0.19523809523809524,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_statuses,KFold,False,2,0.5862068965517241,,0.6666666666666666,,0.5657894736842105,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_statuses,KFold,False,3,0.4186046511627907,,0.41892291254631836,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_statuses,KFold,True,2,0.45,,0.42105263157894735,,0.44999999999999996,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_statuses,KFold,True,3,0.3333333333333333,,0.33173843700159483,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_statuses,LOOCV,False,2,0.5517241379310345,,0.6285714285714286,,0.5394736842105263,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_statuses,LOOCV,False,3,0.3488372093023256,,0.3513414291486268,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_statuses,LOOCV,True,2,0.45,,0.42105263157894735,,0.44999999999999996,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,NUM_statuses,LOOCV,True,3,0.26666666666666666,,0.26634768740031894,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description,KFold,False,2,0.6551724137931034,,0.7727272727272727,,0.49210526315789477,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description,KFold,False,3,0.4186046511627907,,0.3839683325086591,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description,KFold,True,2,0.55,,0.6666666666666666,,0.5449999999999999,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description,KFold,True,3,0.3,,0.2751322751322751,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description,LOOCV,False,2,0.7241379310344828,,0.8095238095238095,,0.5210526315789474,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description,LOOCV,False,3,0.32558139534883723,,0.3216267078450134,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description,LOOCV,True,2,0.6,,0.7142857142857143,,0.38,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description,LOOCV,True,3,0.4,,0.3483250620347394,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+full_name,KFold,False,2,0.6206896551724138,,0.7555555555555555,,0.49736842105263157,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+full_name,KFold,False,3,0.4186046511627907,,0.33038669023981143,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+full_name,KFold,True,2,0.6,,0.7142857142857143,,0.6,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+full_name,KFold,True,3,0.26666666666666666,,0.20138888888888887,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+full_name,LOOCV,False,2,0.5862068965517241,,0.7272727272727273,,0.4710526315789474,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+full_name,LOOCV,False,3,0.4418604651162791,,0.3406238464377999,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+full_name,LOOCV,True,2,0.5,,0.6428571428571429,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+full_name,LOOCV,True,3,0.26666666666666666,,0.1568627450980392,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username,KFold,False,2,0.6551724137931034,,0.782608695652174,,0.5236842105263158,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username,KFold,False,3,0.46511627906976744,,0.3232558139534884,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username,KFold,True,2,0.5,,0.5,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username,KFold,True,3,0.36666666666666664,,0.33149758454106276,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username,LOOCV,False,2,0.6896551724137931,,0.8,,0.5736842105263158,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username,LOOCV,False,3,0.5348837209302325,,0.46659283868586193,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username,LOOCV,True,2,0.6,,0.7142857142857143,,0.6,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username,LOOCV,True,3,0.16666666666666666,,0.16733143399810063,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username+full_name,KFold,False,2,0.6551724137931034,,0.7916666666666666,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username+full_name,KFold,False,3,0.4186046511627907,,0.35294117647058826,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username+full_name,KFold,True,2,0.55,,0.6896551724137931,,0.55,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username+full_name,KFold,True,3,0.23333333333333334,,0.18253968253968253,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username+full_name,LOOCV,False,2,0.6551724137931034,,0.7727272727272727,,0.5473684210526315,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username+full_name,LOOCV,False,3,0.37209302325581395,,0.303588340524045,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username+full_name,LOOCV,True,2,0.6,,0.7142857142857143,,0.6,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_description+username+full_name,LOOCV,True,3,0.13333333333333333,,0.13269841269841268,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_full_name,KFold,False,2,0.6551724137931034,,0.7916666666666666,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_full_name,KFold,False,3,0.4186046511627907,,0.2651162790697674,,,
