Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Mohsen Kharazi,https://en.wikipedia.org/wiki/Mohsen_Kharazi,Q6894418,https://www.wikidata.org/wiki/Q6894418,male,akhoond; cleric; politician; theologian,Iran,Tehran,1937-01-01T00:00:00Z
List of provincial representatives appointed by Supreme Leader of Iran,https://en.wikipedia.org/wiki/List_of_provincial_representatives_appointed_by_Supreme_Leader_of_Iran,Q5929890,https://www.wikidata.org/wiki/Q5929890,,,,,
Nuclear Fatwa Under International Law (book),https://en.wikipedia.org/wiki/Nuclear_Fatwa_Under_International_Law_%28book%29,,,,,,,
October 1981 Iranian presidential election,https://en.wikipedia.org/wiki/October_1981_Iranian_presidential_election,Q1672408,https://www.wikidata.org/wiki/Q1672408,,,,,
October 2024 Friday Prayer in Tehran,https://en.wikipedia.org/wiki/October_2024_Friday_Prayer_in_Tehran,Q130641755,https://www.wikidata.org/wiki/Q130641755,,,,,
October 2024 Iranian strikes on Israel,https://en.wikipedia.org/wiki/October_2024_Iranian_strikes_on_Israel,Q130391800,https://www.wikidata.org/wiki/Q130391800,,,,,
Office of the Supreme Leader of Iran,https://en.wikipedia.org/wiki/Office_of_the_Supreme_Leader_of_Iran,Q16045000,https://www.wikidata.org/wiki/Q16045000,,,,,
An Outline of Islamic Thought in the Quran,https://en.wikipedia.org/wiki/An_Outline_of_Islamic_Thought_in_the_Quran,Q50295599,https://www.wikidata.org/wiki/Q50295599,,,,,
Palestine (2011 book),https://en.wikipedia.org/wiki/Palestine_%282011_book%29,,,,,,,
"Ruhe-Tawhid, Nafye Obudiate GheireKhoda",https://en.wikipedia.org/wiki/Ruhe-Tawhid%2C_Nafye_Obudiate_GheireKhoda,,,,,,,
Second Phase of the Revolution,https://en.wikipedia.org/wiki/Second_Phase_of_the_Revolution,Q61942779,https://www.wikidata.org/wiki/Q61942779,,,,,
Sex segregation in Iran,https://en.wikipedia.org/wiki/Sex_segregation_in_Iran,Q7458537,https://www.wikidata.org/wiki/Q7458537,,,,,
Sharh-e Esm (book),https://en.wikipedia.org/wiki/Sharh-e_Esm_%28book%29,,,,,,,
Statement of 14 Political Activists,https://en.wikipedia.org/wiki/Statement_of_14_Political_Activists,Q67393863,https://www.wikidata.org/wiki/Q67393863,,,,,
Supreme Leader of Iran,https://en.wikipedia.org/wiki/Supreme_Leader_of_Iran,Q332486,https://www.wikidata.org/wiki/Q332486,,,,,
To the Youth in Europe and North America,https://en.wikipedia.org/wiki/To_the_Youth_in_Europe_and_North_America,Q18862721,https://www.wikidata.org/wiki/Q18862721,,,,,
To the Youth in Western Countries,https://en.wikipedia.org/wiki/To_the_Youth_in_Western_Countries,Q21716757,https://www.wikidata.org/wiki/Q21716757,,,,,
Wealth of Khamenei family,https://en.wikipedia.org/wiki/Wealth_of_Khamenei_family,Q131553959,https://www.wikidata.org/wiki/Q131553959,,,,,
Ardakan,https://en.wikipedia.org/wiki/Ardakan,Q580084,https://www.wikidata.org/wiki/Q580084,,,,,
Reception and legacy of Muhammad Khatami,https://en.wikipedia.org/wiki/Reception_and_legacy_of_Muhammad_Khatami,Q5165998,https://www.wikidata.org/wiki/Q5165998,,,,,
Dialogue Among Civilizations,https://en.wikipedia.org/wiki/Dialogue_Among_Civilizations,Q4115645,https://www.wikidata.org/wiki/Q4115645,,,,,
Electoral history of Mohammad Khatami,https://en.wikipedia.org/wiki/Electoral_history_of_Mohammad_Khatami,Q20987784,https://www.wikidata.org/wiki/Q20987784,,politician,,,
Presidency of Muhammad Khatami,https://en.wikipedia.org/wiki/Presidency_of_Muhammad_Khatami,Q5960062,https://www.wikidata.org/wiki/Q5960062,,,,,
