target_username,other_username,type
davood_eldeniz,zahratahmouresi,following
davood_eldeniz,ChayaAlya52473,following
davood_eldeniz,JawadBahonar4,following
davood_eldeniz,inci04803942339,following
davood_eldeniz,Gunesh_Turk_,following
davood_eldeniz,SUSUZXAN,following
davood_eldeniz,SawariMahdi,following
davood_eldeniz,itpaya,following
davood_eldeniz,compose,following
davood_eldeniz,SDemirHR,following
davood_eldeniz,VSATPLUS,following
davood_eldeniz,resources,following
davood_eldeniz,privacy,following
davood_eldeniz,ayJGnknauk,following
davood_eldeniz,Dinosh0p,following
davood_eldeniz,sensei_omid,following
davood_eldeniz,olurkanka,following
davood_eldeniz,az_nature_fan,following
davood_eldeniz,behinam_bbb,following
davood_eldeniz,Mehdi9_9,following
davood_eldeniz,voltaireim,following
davood_eldeniz,_ya_karim_,following
davood_eldeniz,MasterMind1940,following
davood_eldeniz,en,following
davood_eldeniz,oxcuqam1,following
davood_eldeniz,sakinsistani,following
davood_eldeniz,sleepyfarzad,following
davood_eldeniz,Noamkadosh4,following
davood_eldeniz,_iwftw,following
davood_eldeniz,nasilgidio,following
davood_eldeniz,bubbu_app,following
davood_eldeniz,bunlarnedio,following
davood_eldeniz,tos,following
davood_eldeniz,_san_az,following
davood_eldeniz,articles,following
davood_eldeniz,PaShyry73071,following
davood_eldeniz,ehsanhaghgo75,following
davood_eldeniz,bayram_azb,following
davood_eldeniz,Bubbuapp,following
davood_eldeniz,AniyaTurk,following
davood_eldeniz,srclj__,following
davood_eldeniz,pishibaz,following
davood_eldeniz,thirst,following
davood_eldeniz,ArminGhobadi,following
BitaAlahyan,TuissDEser,follower
BitaAlahyan,bFsbhDFJQo,follower
BitaAlahyan,AnahitaTavoosi,follower
BitaAlahyan,shahrak_ekbatan,follower
BitaAlahyan,khakpour_sara,follower
BitaAlahyan,SabotageNewYork,follower
BitaAlahyan,DoUnthinkabl,follower
BitaAlahyan,RedbazarIr,follower
BitaAlahyan,MykonosFilmFest,follower
BitaAlahyan,mehdijoodi2000,follower
BitaAlahyan,pauljlanefilm,follower
BitaAlahyan,alijafarifo,follower
BitaAlahyan,SeyedSaeed_alr,follower
BitaAlahyan,MADISON,follower
BitaAlahyan,compose,follower
BitaAlahyan,Soheylxps,follower
BitaAlahyan,resources,follower
BitaAlahyan,privacy,follower
BitaAlahyan,seddighi83,follower
BitaAlahyan,funzone4all,follower
BitaAlahyan,AVINMARKET3,follower
BitaAlahyan,PinguinoToday,follower
BitaAlahyan,RasouliHama,follower
BitaAlahyan,WomenFilmOfColr,follower
BitaAlahyan,en,follower
BitaAlahyan,Noamkadosh4,follower
BitaAlahyan,dizspacekid,follower
BitaAlahyan,N8uJqULsLe,follower
BitaAlahyan,armin_anti,follower
BitaAlahyan,tos,follower
BitaAlahyan,articles,follower
BitaAlahyan,dolekiro1987,follower
BitaAlahyan,ShahbanouFarah,follower
BitaAlahyan,TheYogaJourney1,follower
BitaAlahyan,gX3BvfjouL,follower
BitaAlahyan,hoomanstar,follower
BitaAlahyan,s_nancy30,follower
BitaAlahyan,thirst,follower
BitaAlahyan,zare_misagh,follower
BitaAlahyan,la_Biennale,following
BitaAlahyan,PSFilmFest,following
BitaAlahyan,WHO,following
BitaAlahyan,TIME,following
BitaAlahyan,selenagomez,following
BitaAlahyan,britneyspears,following
BitaAlahyan,6pHAJ9vpdx,following
BitaAlahyan,NotifyLA,following
BitaAlahyan,vyqpx4iAqS,following
BitaAlahyan,C5b8cx3Een,following
BitaAlahyan,UN,following
BitaAlahyan,CDC_HIVAIDS,following
BitaAlahyan,ddlovato,following
BitaAlahyan,hollywoodshorts,following
BitaAlahyan,YouTube,following
BitaAlahyan,NYTHealth,following
BitaAlahyan,healoneworld,following
BitaAlahyan,thirst,following
BitaAlahyan,TIMEHealth,following
BitaAlahyan,8nok3NP4PW,following
BitaAlahyan,Zfks88nVHz,following
BitaAlahyan,ReadyLA,following
BitaAlahyan,CBSHealth,following
BitaAlahyan,kpdN2C1hDy,following
BitaAlahyan,HassanRouhani,following
BitaAlahyan,HHS_ASH,following
BitaAlahyan,GaxPkLmwaf,following
BitaAlahyan,Rouhani_ir,following
BitaAlahyan,ValleyFilmFest,following
BitaAlahyan,CDCgov,following
BitaAlahyan,Vr6eTaxwQ8,following
BitaAlahyan,privacy,following
BitaAlahyan,Harvardmed,following
BitaAlahyan,katyperry,following
BitaAlahyan,en,following
BitaAlahyan,Noamkadosh4,following
BitaAlahyan,armin_anti,following
BitaAlahyan,JZarif,following
BitaAlahyan,pu5t0UxC6A,following
BitaAlahyan,Wt43Oq2prz,following
BitaAlahyan,WSJhealth,following
BitaAlahyan,awarenessfest,following
BitaAlahyan,CBSNews,following
BitaAlahyan,WebMD,following
BitaAlahyan,HHSgov,following
BitaAlahyan,wOGwZ3gX1M,following
BitaAlahyan,NPRHealth,following
BitaAlahyan,NIH,following
BitaAlahyan,HHSGov,following
BitaAlahyan,khloekardashian,following
BitaAlahyan,MayoClinic,following
BitaAlahyan,WSJ,following
BitaAlahyan,CDC_HIV,following
BitaAlahyan,compose,following
BitaAlahyan,GreaterThanHIV,following
BitaAlahyan,liftoffnetwork,following
BitaAlahyan,9LbZmE3Wzg,following
BitaAlahyan,joncampling,following
BitaAlahyan,LAMindFieldFF,following
BitaAlahyan,talkHIV,following
BitaAlahyan,EntCareersNet,following
BitaAlahyan,NYshorts,following
BitaAlahyan,Exilefilmfest,following
BitaAlahyan,UNICEF,following
BitaAlahyan,rihanna,following
BitaAlahyan,NASA,following
BitaAlahyan,ArminGhobadi,following
BitaAlahyan,LAshortsFest,following
BitaAlahyan,HarvardHealth,following
BitaAlahyan,PG0osd8rBO,following
BitaAlahyan,HIVGov,following
BitaAlahyan,2fvEGkrCJN,following
BitaAlahyan,VOFWBl1RXM,following
BitaAlahyan,WIF_LosAngeles,following
BitaAlahyan,CapitalGroup,following
BitaAlahyan,cQnYWjubx7,following
BitaAlahyan,resources,following
BitaAlahyan,HollyShorts,following
BitaAlahyan,NBCNewsHealth,following
BitaAlahyan,SecKennedy,following
dastournezhad,___tw1tt3r___,follower
dastournezhad,NadiaNovibi,follower
dastournezhad,FarshidBazmand,follower
dastournezhad,milanisiamak,follower
dastournezhad,Vividia83,follower
dastournezhad,SagharMalekzad5,follower
dastournezhad,Roman9051743499,follower
dastournezhad,Georgetown,follower
dastournezhad,MomentBird,follower
dastournezhad,behnazmondo,follower
dastournezhad,Sandra43720698,follower
dastournezhad,MrZactly,follower
dastournezhad,MojtabaGol,follower
dastournezhad,ShayAyoubzadeh,follower
dastournezhad,GUStatProf,follower
dastournezhad,Iran_Style,follower
dastournezhad,iyouhesheweyout,follower
dastournezhad,la_Biennale,follower
dastournezhad,hetamet,follower
dastournezhad,irani99,follower
dastournezhad,IranianWin,follower
dastournezhad,slores,follower
dastournezhad,reza_kam78,follower
dastournezhad,agharezasaeidi,follower
dastournezhad,Dawid61051538,follower
dastournezhad,compose,follower
dastournezhad,Jalalijj,follower
dastournezhad,BijanJafari13,follower
dastournezhad,ybahmaei,follower
dastournezhad,heidiab12,follower
dastournezhad,resources,follower
dastournezhad,privacy,follower
dastournezhad,alijannatpour,follower
dastournezhad,zare05658675,follower
dastournezhad,iamasamanrezae,follower
dastournezhad,AASanGari,follower
dastournezhad,en,follower
dastournezhad,Samnnnnnnnnn,follower
dastournezhad,iamasamanrezaei,follower
dastournezhad,36gsxtYjHRlK7e4,follower
