"target_username","other_username","type"
"moltaf","afshinbizar","follower"
"shahrumkashani","afshinzare1","follower"
"T_Javanbakht","afterdinnercon","follower"
"kngwmn","afterpay_au","following"
"livingintehran","afzalab90","follower"
"Mehrdad_Asemani","afzalieli","follower"
"jadi","afzouni","follower"
"raisi_com","aga_mohd_hussan","follower"
"N_Khodakarami","agakeruka71284","follower"
"talaashe","agathaallweek","follower"
"hosseinbastani","agencecapa","following"
"asa","agencythebook","following"
"PKhakpour","agent_ayesha","following"
"ShaunToub","ageofpahlavi","follower"
"HamidDabashi","aggholamyy","follower"
"raisi_com","agha_mohamad1_","follower"
"AmirTaheri4","agha_xavier2","following"
"MajidTavakolii","aghachurchill","following"
"Mehrdad_Asemani","aghajanii76m","follower"
"helalireza","aghamiri_hosein","following"
"Nouriel","aghatac8","follower"
"iranrights_org","aghdadaash","follower"
"nouri_kasra","aghmamrez","following"
"MnMottaki","aghomchi","follower"
"abb_abdi","aghplt","following"
"amnesty","agnescallamard","follower"
"manoushz","agoldmund","following"
"MrKheiron","agolp","following"
"kngwmn","agriculture666","following"
"PKhakpour","agudaojo","follower"
"AEK_FC_OFFICIAL","aguilasmonu","follower"
"DinaNayeri","ahaactors","following"
"jadi","ahadisherko","follower"
"shahram_hds","ahadsadeghi71","follower"
"PennHistory","ahahistorians","following"
"REZAphotography","ahali73975790a","follower"
"hosseinbastani","ahamd155610","follower"
"SayedModarresi","ahammoudmi","following"
"yazdanicherati","ahangar_fa44154","follower"
"ardeshirpashang","ahangari73","follower"
"mousavi1388","ahangevafa","follower"
"saeid_mohammad_","ahangparvaz_co","follower"
"sahardolatshahi","ahdeaghiq","following"
"nm","ahejlsberg","following"
"rezjazz","ahimsaaaa","follower"
"mahdirasuli_ir","ahlebeytmedia","following"
"alikarimi_ak8","ahllam_music","following"
"SayedModarresi","ahlulbayt__313","follower"
"TheSayed","ahlulbayt_says","following"
"TheSayed","ahlulbayt_tv","follower"
"TheSayed","ahlulbayt28","follower"
"TheSayed","ahlulbayttv","following"
"RoyaTheWriter","ahmad4isrl","following"
"habibalkaabi1","ahmad76905530","follower"
"nourialmalikiiq","ahmadabdulsada","follower"
"ajavadiamoli","ahmadalirezaei","follower"
"milaniabbas","ahmadi_abb27030","follower"
"alilarijani_ir","ahmadi_afs1371","follower"
"MehdiKhalaji","ahmadi_ahmadii","follower"
"yazdanicherati","ahmadi_fae83290","follower"
"manotonews","ahmadiaman84324","follower"
"Mahdikouchakof","ahmadinejad1956","following"
"IndypersianLife","ahmadisaye35320","follower"
"habibalkaabi1","ahmadmuaffaq","following"
"HaiderAlAbadi","ahmadmullatalal","follower"
"hamidrasaee","ahmadnaderi_ir","following"
"alikarimi_ak8","ahmadnoorollahi","following"
"shahram_hds","ahmadreza_ka","follower"
"drpezeshkian","ahmadrezaas8","follower"
"yazdanicherati","ahmadrezae88890","following"
"farvartishr","ahmadrezagz","following"
"mr_halloo","ahmadrezakzmi","following"
"sepideqoliyan","ahmadsamadi1974","following"
"SayedModarresi","ahmadshuja","following"
"mahlaghajaberi","ahmdlkarim","following"
"IranIntl","ahmdzybdal56318","follower"
"_Mahdiyar313","ahmed_rami","following"
"BehrouzBoochani","ahmed17032001","follower"
"HaiderAlAbadi","ahmedabdal94","follower"
"mahlaghajaberi","ahmedabdswe","follower"
"TheSayed","ahmedalharbi0_","follower"
"mahlaghajaberi","ahmedheero00","follower"
"AlBayanSports","ahmedjamal41147","follower"
"manototv","ahmedjoia15116","follower"
"manizhe","ahmedkroy","following"
"AfshinMolavi","ahmedmohammed","following"
"bso__azad","ahmedna00921321","follower"
"REZAphotography","ahmedovzaur78","follower"
"nourialmalikiiq","ahmedsaad189151","follower"
"kbarzeg","ahmedsamehcccpa","follower"
"hassaninmubarak","ahmedstv1","following"
"kbarzeg","ahmet_k_han","following"
"tatalioo","ahora9090","follower"
"leilaforouhar","ahoramazda39384","follower"
"MajidTavakolii","ahqyqty18486","follower"
"Mehrdad_Asemani","ahrari_maryam","follower"
"world","ahsan2026bs","follower"
"BehrouzBoochani","ahsana30012","follower"
"habibalkaabi1","ahwaz1925__","follower"
"habibalkaabi1","ahwazmedia","following"
"habibalkaabi1","ahwaztammoz2021","follower"
"AshKoosha","ai_risks","following"
"mousavi1388","aiatmeta","follower"
"livingintehran","aibaensch","following"
"REZAphotography","aibuzznews","following"
"HichkasOfficial","aicalliance_","follower"
"fatemeekhtesari","aidaghajar","following"
"HajipourShervin","aidaghavam4291","follower"
"fatemeekhtesari","aidanajra","follower"
"shahinnajafi80","aidin_og","follower"
"jorjandii","aidinism","following"
"HosseinRajabian","ailar1000","follower"
"BLOGS","ain4or","follower"
"ummahfilms","ainajkhan","follower"
"HellyLuv","ainohuilaja","following"
"khademh","ainslielab","follower"
"aliyanazarbaeva","ainurastom","follower"
"REZAphotography","aircenteraz","following"
"Pey_keshavarzi","airdropcomet","following"
"hamidrasaee","airwallex","following"
"SAGES_Updates","aischannel","following"
"Mehdi_Rajabian","aishaabbas20560","follower"
"Mehdi_Rajabian","aishaabbass3176","follower"
"thebest","aishaguzma28258","follower"
"RoyaTheWriter","aiss_afg","follower"
"hasan_abbasi","aiyankarimi3312","follower"
"babaktafreshi","aj_torgheh","follower"
"SportingKC","aj1p8cn3ma859xl","follower"
"Manzarpour","ajamiamin","follower"
"shahrak_ekbatan","ajan_iran","follower"
"ebtekarm","ajarabic","following"
"Ahmadinejad1956","ajatashatru","following"
"ajavadiamoli","ajavadiamoli isn’t following anyone","following"
"CroSports_","ajaykum78488191","follower"
"issues","ajbends","following"
"aliyanazarbaeva","ajdarbekbosynov","follower"
"livingintehran","ajdemarang","follower"
"farvartishr","ajenews","following"
"IBAHRI","ajenglish","follower"
"hosdehghan","ajgerimsag41079","follower"
"yashar","aji_fellowships","follower"
"monaborzouei","ajibzade","follower"
"SEVDALIZA","ajik38933950","follower"
"fft_official","ajmaldashti17","follower"
"mahlaghajaberi","ajmalzamani4","follower"
"AlBayanSports","ajmanclub","following"
"AlBayanSports","ajmanclub_en","following"
"AliAzimiMusic","ajnlive","following"
"music","ajos","follower"
"BahramRadan","ajplus","following"
"ArminGhobadi","ajstream","following"
"livingintehran","ajturk","follower"
"MajidTavakolii","ak_rogue_","follower"
"Hyazdani_CH","ak1980777","follower"
"nazaninarmanian","akaleditor","following"
"asa","akash551788875","follower"
"behzadbolour","akbar50847775","follower"
"asre_majles","akbarabasi13481","follower"
"dr_hsamsami","akbarghasemi62","follower"
"bso__azad","akbarkhan025","follower"
"SepidehMoafi","akbarsahmed","following"
"HamidDabashi","akbrohi09","follower"
"esmaeilion","akbrzadh35412","follower"
"JZarif","akef1680","follower"
"statedept","akguitarman49","follower"
"sirvan_khosravi","akhavan_mina","follower"
"Tavaana","akhavanbahar","follower"
"khamenei_ir","akhbare_fori","follower"
"gmziarani","akhgar_maryam","following"
"ebtekarm","akhoundiabbas","following"
"asre_majles","akiali43488770","follower"
"MaryamZakaria","akmalkhan186861","follower"
"AEK_FC_OFFICIAL","akram1445449","follower"
"shayagoldoust","akramipmp","follower"
"HossainiSma","akramsharifi","following"
