Twitter_username,Full_Name,Followers_Collected,Following_Collected,Error,wikidata_qid,Twitter_url
MarjanFarsad,Marjan Farsad,64,66,,,https://x.com/MarjanFarsad
stronger,Stronger,21,10,,,https://x.com/stronger
AndrewNTDavis,,10,10,,,https://x.com/AndrewNTDavis
masih_alinejad,,10,10,,,https://x.com/masih_alinejad
masoudkazemi81,Masoud Kazemi,80,80,,,https://x.com/masoudkazemi81
masoud_molavi,Masoud Molavi,60,59,,,https://x.com/masoud_molavi
drpezeshkian,Masoud Pezeshkian,64,30,,,https://x.com/drpezeshkian
MasoudTaheri4,Masoud Taheri,65,80,,,https://x.com/MasoudTaheri4
ebtekarm,Massoumeh Ebtekar,79,80,,,https://x.com/ebtekarm
mehdikarampour,Mehdi Karampour,10,10,,,https://x.com/mehdikarampour
MehdiKhalaji,MehdiKhalaji,60,10,,,https://x.com/MehdiKhalaji
Mehdi_Rajabian,Mehdi Rajabian,80,47,,,https://x.com/Mehdi_Rajabian
Mehranx,Mehran,11,12,,,https://x.com/Mehranx
2011,まゆみん,66,28,,,https://x.com/2011
2015,,10,10,,,https://x.com/2015
mousavi1388,MirHossein Mousavi,70,10,,,https://x.com/mousavi1388
Mfazeli114,محمد فاضلی,80,80,,,https://x.com/Mfazeli114
mhhansari,M.H. Ansari,80,80,,,https://x.com/mhhansari
JZarif,Javad Zarif,80,27,,,https://x.com/JZarif
jorjandii,Mohammad Jorjandi,62,78,,,https://x.com/jorjandii
Manzarpour,Mohammad Manzarpour,68,65,,,https://x.com/Manzarpour
2mohammadmosaed,Mohammad Mosaed,66,75,,,https://x.com/2mohammadmosaed
Nahavandian_ir,محمد نهاوندیان,64,45,,,https://x.com/Nahavandian_ir
ir_aref,محمدرضا عارف,78,27,,,https://x.com/ir_aref
meftah,,80,69,,,https://x.com/meftah
mszarepour,Mohammad Saleh Zarepour,66,80,,,https://x.com/mszarepour
khamenei_ir,Khamenei.ir,80,40,,,https://x.com/khamenei_ir
university,,10,10,,,https://x.com/university
OfficialMNamjoo,Mohsen Namjoo | محسن نامجو,65,44,,,https://x.com/OfficialMNamjoo
monaborzouei,Mona Borzouei,61,80,,,https://x.com/monaborzouei
MoriMahmoudi,"Morteza Mahmoudi, PhD",80,80,,,https://x.com/MoriMahmoudi
ManotoNews,اتاق خبر منوتو,80,43,,,https://x.com/ManotoNews
NaderHabibi2,,79,80,,,https://x.com/NaderHabibi2
NasimAmiralian,,10,10,,,https://x.com/NasimAmiralian
paydar,Nasser Paydar,70,80,,,https://x.com/paydar
soleimanpour,Alireza Soleimanpour,25,10,,,https://x.com/soleimanpour
nazaninarmanian,nazanin,80,80,,,https://x.com/nazaninarmanian
maroofian,,10,10,,,https://x.com/maroofian
Nazli_Tabatabai,Nazli Tabatabai-Khatambakhsh BSc. MLitt MA SFHEA,80,80,,,https://x.com/Nazli_Tabatabai
neginsh,Negin Shiraghaei,80,80,,,https://x.com/neginsh
issues,ISSUES,69,19,,,https://x.com/issues
masoud,masoud.aghaie,10,10,,,https://x.com/masoud
Nouriel,Nouriel Roubini,80,80,,,https://x.com/Nouriel
OmidFarokhzad,,10,10,,,https://x.com/OmidFarokhzad
PardisSabeti,Pardis Sabeti,80,80,,,https://x.com/PardisSabeti
parsapirouzfar,Parsa Pirouzfar,66,60,,,https://x.com/parsapirouzfar
paymanmaadi,Payman Maadi,68,73,,,https://x.com/paymanmaadi
persismk,Ｐｅｒｓｉｓ,10,10,,,https://x.com/persismk
pirouzhanachi,پیروز حناچی,80,38,,,https://x.com/pirouzhanachi
site,,10,10,,,https://x.com/site
PKhakpour,porochista khakpour she/her پوروچیستا خاکپور,65,80,,,https://x.com/PKhakpour
pouriazeraati,Pouria Zeraati,80,80,,,https://x.com/pouriazeraati
rambodjavan1,,61,10,,,https://x.com/rambodjavan1
RJahanbegloo,Ramin Jahanbegloo,10,10,,,https://x.com/RJahanbegloo
ramitanavai,Ramita Navai,80,80,,,https://x.com/ramitanavai
rezaaslan,ًًً,69,80,,,https://x.com/rezaaslan
REZAphotography,REZA,70,80,,,https://x.com/REZAphotography
RezaDormishian,Reza Dormishian,71,10,,,https://x.com/RezaDormishian
rezahn56,رضا حقيقت‌نژاد,80,65,,,https://x.com/rezahn56
journal,,10,10,,,https://x.com/journal
PahlaviReza,Reza Pahlavi,80,80,,,https://x.com/PahlaviReza
rezjazz,Reza Rohani Official,62,73,,,https://x.com/rezjazz
Rezasadeghireal,Reza Sadeghi,65,72,,,https://x.com/Rezasadeghireal
RezaZiaEbrahimi,Reza Zia-Ebrahimi       رضا ضیاء ابراهیمی,80,78,,,https://x.com/RezaZiaEbrahimi
roohallahj,روح الله جمعه ای,80,56,,,https://x.com/roohallahj
roozbeh_azar,Roozbeh Azar,67,66,,,https://x.com/roozbeh_azar
CathyManso,Catherine Manso,71,80,,,https://x.com/CathyManso
Genomicien,Roxana Moslehi (رکسانا مصلحی),64,80,,,https://x.com/Genomicien
RoyaTheWriter,Roya Hakakian,80,80,,,https://x.com/RoyaTheWriter
IBAHRI,IBA's Human Rights Institute,80,80,,,https://x.com/IBAHRI
SabrinaGhayour,Sabrina Ghayour-Lynn,80,80,,,https://x.com/SabrinaGhayour
SaeedKD,,10,10,,,https://x.com/SaeedKD
saeid_mohammad_,سعید محمد,73,17,,,https://x.com/saeid_mohammad_
saghi_ghahraman,Saghi Ghahraman,68,80,,,https://x.com/saghi_ghahraman
SaharZand,Sahar Zand,79,80,,,https://x.com/SaharZand
SamiBeigi,Sami Beigi,64,19,,,https://x.com/SamiBeigi
CiaoSamin,,10,10,,,https://x.com/CiaoSamin
SEVDALIZA,SEVDALIZA,80,74,,,https://x.com/SEVDALIZA
cache,,10,10,,,https://x.com/cache
NEWS,NEWS,80,80,,,https://x.com/NEWS
shahabedin76,شهاب‌الدين طباطبايى,64,68,,,https://x.com/shahabedin76
shahinnajafi80,Shahin Najafi 𓃬☼,68,80,,,https://x.com/shahinnajafi80
shahrumkashani,shahrumkashani,61,73,,,https://x.com/shahrumkashani
ShappiKhorsandi,Shaparak Khorsandi شاپرک خرسندی,65,80,,,https://x.com/ShappiKhorsandi
shayagoldoust,Shaya Goldoust,64,80,,,https://x.com/shayagoldoust
IranianWoman,Sheema Kalbasi شیما کلباسی,73,80,,,https://x.com/IranianWoman
HajipourShervin,Shervin Hajipour,72,67,,,https://x.com/HajipourShervin
SAGES_Updates,SAGES is in Tampa in 2026!,80,80,,,https://x.com/SAGES_Updates
siamakansarii,Siamak Ansari,67,69,,,https://x.com/siamakansarii
Siavashshams,Siavash Shams,60,13,,,https://x.com/Siavashshams
sirvan_khosravi,Sirvan Khosravi,65,20,,,https://x.com/sirvan_khosravi
SohrabAhmari,Sohrab Ahmari,80,80,,,https://x.com/SohrabAhmari
S_Pakseresht,سلیمان پاک‌سرشت,69,63,,,https://x.com/S_Pakseresht
solmazdaryani,,10,10,,,https://x.com/solmazdaryani
sorayanelson,SorayaSarhaddiNelson,80,80,,,https://x.com/sorayanelson
TahaYasseri,Taha Yasseri,80,80,,,https://x.com/TahaYasseri
taraaghdashloo,Tara Aghdashloo,80,80,,,https://x.com/taraaghdashloo
t_alidoosti,,10,10,,,https://x.com/t_alidoosti
T_Javanbakht,"Taraneh Javanbakht, PhD, DEA, MSc, MA",69,10,,,https://x.com/T_Javanbakht
V_and_A,V&A,71,80,,,https://x.com/V_and_A
the_ironsheik,The Iron Sheik,80,80,,,https://x.com/the_ironsheik
OfficialToomaj,توماج صالحی,80,80,,,https://x.com/OfficialToomaj
IranRights_org,Abdorrahman Boroumand Center,67,80,,,https://x.com/IranRights_org
Vahid,Vahid Online,70,61,,,https://x.com/Vahid
vali_nasr,Vali Nasr,67,80,,,https://x.com/vali_nasr
yashar,Yashar Ali,80,80,,,https://x.com/yashar
AlimbayevYerlan,Yerlan Alimbayev,60,80,,,https://x.com/AlimbayevYerlan
NishaBiswal,Nisha Biswal,77,80,,,https://x.com/NishaBiswal
z_al,Zal,80,80,,,https://x.com/z_al
zhubinparang,Zhubin Parang,10,10,,,https://x.com/zhubinparang
ZanZibaShirazi,Ziba Shirazi,64,32,,,https://x.com/ZanZibaShirazi
