Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Ebrahim Peiravi,https://en.wikipedia.org/wiki/Ebrahim_Peiravi,Q25424255,https://www.wikidata.org/wiki/Q25424255,male,weightlifter,,,1933-01-01T00:00:00Z
Firouz Pojhan,https://en.wikipedia.org/wiki/Firouz_Pojhan,Q20984533,https://www.wikidata.org/wiki/Q20984533,male,weightlifter,Iran,,1926-10-03T00:00:00Z
Rasoul Raeisi,https://en.wikipedia.org/wiki/Rasoul_Raeisi,Q19895594,https://www.wikidata.org/wiki/Q19895594,male,weightlifter,Iran,Ardabil,1924-10-08T00:00:00Z
Hassan Rahnavardi,https://en.wikipedia.org/wiki/Hassan_Rahnavardi,Q16090555,https://www.wikidata.org/wiki/Q16090555,male,politician; weightlifter,Iran,Tabriz,1927-06-23T00:00:00Z
Ali Rajabi Eslami,https://en.wikipedia.org/wiki/Ali_Rajabi_Eslami,Q80328433,https://www.wikidata.org/wiki/Q80328433,male,weightlifter,,,1937-04-27T00:00:00Z
Bijan Rezaei,https://en.wikipedia.org/wiki/Bijan_Rezaei,Q83018586,https://www.wikidata.org/wiki/Q83018586,male,weightlifter,Sweden,Rudsar,1964-12-20T00:00:00Z
Morteza Rezaeian,https://en.wikipedia.org/wiki/Morteza_Rezaeian,Q21642949,https://www.wikidata.org/wiki/Q21642949,male,weightlifter,Iran,,1989-06-14T00:00:00Z
Hossein Rezazadeh,https://en.wikipedia.org/wiki/Hossein_Rezazadeh,Q374353,https://www.wikidata.org/wiki/Q374353,male,weightlifter,Iran,Ardabil,1978-05-12T00:00:00Z
Kianoush Rostami,https://en.wikipedia.org/wiki/Kianoush_Rostami,Q2743313,https://www.wikidata.org/wiki/Q2743313,male,athlete; weightlifter,Iran,Kermanshah,1991-07-23T00:00:00Z
Ali Safa-Sonboli,https://en.wikipedia.org/wiki/Ali_Safa-Sonboli,Q4725171,https://www.wikidata.org/wiki/Q4725171,male,weightlifter,Iran,Qaem Shahr,1932-01-01T00:00:00Z
Mohammad Salehi (weightlifter),https://en.wikipedia.org/wiki/Mohammad_Salehi_%28weightlifter%29,,,,,,,
Behdad Salimi,https://en.wikipedia.org/wiki/Behdad_Salimi,Q733286,https://www.wikidata.org/wiki/Q733286,male,weightlifter,Iran,Qaem Shahr,1989-12-08T00:00:00Z
Jafar Salmasi,https://en.wikipedia.org/wiki/Jafar_Salmasi,Q931240,https://www.wikidata.org/wiki/Q931240,male,weightlifter,Iran,Baghdad,1918-09-22T00:00:00Z
Saeid Sayyar,https://en.wikipedia.org/wiki/Saeid_Sayyar,Q21622755,https://www.wikidata.org/wiki/Q21622755,male,weightlifter,Iran,,1992-01-20T00:00:00Z
Rashid Sharifi,https://en.wikipedia.org/wiki/Rashid_Sharifi,Q373398,https://www.wikidata.org/wiki/Q373398,male,weightlifter,Iran,Isfahan,1984-09-21T00:00:00Z
Alireza Soleimani (weightlifter),https://en.wikipedia.org/wiki/Alireza_Soleimani_%28weightlifter%29,,,,,,,
Hamed Solhipour,https://en.wikipedia.org/wiki/Hamed_Solhipour,Q85966672,https://www.wikidata.org/wiki/Q85966672,male,powerlifter,,Tehran,1989-05-22T00:00:00Z
Hossein Soltani,https://en.wikipedia.org/wiki/Hossein_Soltani,Q118288493,https://www.wikidata.org/wiki/Q118288493,male,weightlifter,,,1999-12-02T00:00:00Z
Mohsen Tabatabaei,https://en.wikipedia.org/wiki/Mohsen_Tabatabaei,Q25423940,https://www.wikidata.org/wiki/Q25423940,male,weightlifter,Iran,,1927-09-21T00:00:00Z
Rasoul Taghian,https://en.wikipedia.org/wiki/Rasoul_Taghian,Q20987959,https://www.wikidata.org/wiki/Q20987959,male,weightlifter,Iran,,1987-01-21T00:00:00Z
Abbas Talebi,https://en.wikipedia.org/wiki/Abbas_Talebi,Q83887539,https://www.wikidata.org/wiki/Q83887539,male,weightlifter,,,1967-12-31T00:00:00Z
Henrik Tamraz,https://en.wikipedia.org/wiki/Henrik_Tamraz,Q19519297,https://www.wikidata.org/wiki/Q19519297,male,weightlifter,Iran,Urmia,1935-05-28T00:00:00Z
Hossein Tavakkoli,https://en.wikipedia.org/wiki/Hossein_Tavakkoli,Q931761,https://www.wikidata.org/wiki/Q931761,male,weightlifter,Iran,Mahmudabad,1978-01-10T00:00:00Z
Homayoun Teymouri,https://en.wikipedia.org/wiki/Homayoun_Teymouri,Q96002657,https://www.wikidata.org/wiki/Q96002657,male,weightlifter,,,1994-08-11T00:00:00Z
Ali Vali,https://en.wikipedia.org/wiki/Ali_Vali,Q31140850,https://www.wikidata.org/wiki/Q31140850,male,weightlifter,Iran,Tehran,1950-01-01T00:00:00Z
Alireza Yousefi,https://en.wikipedia.org/wiki/Alireza_Yousefi,Q64351854,https://www.wikidata.org/wiki/Q64351854,male,weightlifter,,Qaem Shahr,2003-08-27T00:00:00Z
Ahmad Aminzadeh,https://en.wikipedia.org/wiki/Ahmad_Aminzadeh,Q130261335,https://www.wikidata.org/wiki/Q130261335,male,,,,
Mohsen Bakhtiar,https://en.wikipedia.org/wiki/Mohsen_Bakhtiar,Q130329842,https://www.wikidata.org/wiki/Q130329842,male,,,,1998-05-17T00:00:00Z
Morteza Dashti,https://en.wikipedia.org/wiki/Morteza_Dashti,Q81675394,https://www.wikidata.org/wiki/Q81675394,male,,,,
Amrollah Dehghani,https://en.wikipedia.org/wiki/Amrollah_Dehghani,Q81680007,https://www.wikidata.org/wiki/Q81680007,male,,,,
Majid Farzin,https://en.wikipedia.org/wiki/Majid_Farzin,Q5668363,https://www.wikidata.org/wiki/Q5668363,male,powerlifter,Iran,Ardabil,
Aliakbar Gharibshahi,https://en.wikipedia.org/wiki/Aliakbar_Gharibshahi,Q130261315,https://www.wikidata.org/wiki/Q130261315,male,,,,
Ali Hosseini (powerlifter),https://en.wikipedia.org/wiki/Ali_Hosseini_%28powerlifter%29,,,,,,,
Amir Jafari (powerlifter),https://en.wikipedia.org/wiki/Amir_Jafari_%28powerlifter%29,,,,,,,
Hamzeh Mohammadi,https://en.wikipedia.org/wiki/Hamzeh_Mohammadi,Q81674703,https://www.wikidata.org/wiki/Q81674703,male,,,,
Nader Moradi,https://en.wikipedia.org/wiki/Nader_Moradi,Q5681095,https://www.wikidata.org/wiki/Q5681095,male,disabled sportsperson,Iran,,1982-09-21T00:00:00Z
Mansour Pourmirzaei,https://en.wikipedia.org/wiki/Mansour_Pourmirzaei,Q108180178,https://www.wikidata.org/wiki/Q108180178,male,powerlifter,Iran,Rafsanjan,1980-01-01T00:00:00Z
Siamand Rahman,https://en.wikipedia.org/wiki/Siamand_Rahman,Q4121925,https://www.wikidata.org/wiki/Q4121925,male,powerlifter,Iran,Oshnavieh,1988-03-21T00:00:00Z
Rouhollah Rostami,https://en.wikipedia.org/wiki/Rouhollah_Rostami,Q5680728,https://www.wikidata.org/wiki/Q5680728,male,powerlifter,Iran,,
Ali Sadeghzadeh,https://en.wikipedia.org/wiki/Ali_Sadeghzadeh,Q4725166,https://www.wikidata.org/wiki/Q4725166,male,,Iran,,1978-11-30T00:00:00Z
Template:Iran-weightlifting-bio-stub,https://en.wikipedia.org/wiki/Template%3AIran-weightlifting-bio-stub,,,,,,,
Saman Razi,https://en.wikipedia.org/wiki/Saman_Razi,Q27629793,https://www.wikidata.org/wiki/Q27629793,male,powerlifter,Iran,,1986-03-24T00:00:00Z
