Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Bahareh Rahnama,https://en.wikipedia.org/wiki/Bahareh_Rahnama,Q4842449,https://www.wikidata.org/wiki/Q4842449,female,actor; blogger; film director; screenwriter,Iran,Arak,1971-12-01T00:00:00Z,,
Rima Raminfar,https://en.wikipedia.org/wiki/Rima_Raminfar,Q10861510,https://www.wikidata.org/wiki/Q10861510,female,actor; screenwriter; writer,Iran,Tehran,1970-03-25T00:00:00Z,,
Leyli Rashidi,https://en.wikipedia.org/wiki/Leyli_Rashidi,Q5939843,https://www.wikidata.org/wiki/Q5939843,female,actor; performing artist,Iran,Tehran,1973-02-02T00:00:00Z,,
Fahimeh Rastkar,https://en.wikipedia.org/wiki/Fahimeh_Rastkar,Q5429553,https://www.wikidata.org/wiki/Q5429553,female,actor,Iran,Tehran,1934-03-20T00:00:00Z,,
Atefeh Razavi,https://en.wikipedia.org/wiki/Atefeh_Razavi,Q4812993,https://www.wikidata.org/wiki/Q4812993,female,actor; make-up artist,Iran,Tehran,1969-03-06T00:00:00Z,,
Katayoun Riahi,https://en.wikipedia.org/wiki/Katayoun_Riahi,Q6393595,https://www.wikidata.org/wiki/Q6393595,female,actor,Pahlavi Iran,Tehran,1961-12-31T00:00:00Z,,
Shahla Riahi,https://en.wikipedia.org/wiki/Shahla_Riahi,Q7461818,https://www.wikidata.org/wiki/Q7461818,female,actor; announcer; film director; stage actor; voice actor,Iran; Pahlavi Iran,Tehran,1927-02-07T00:00:00Z,,
Homa Rousta,https://en.wikipedia.org/wiki/Homa_Rousta,Q5887338,https://www.wikidata.org/wiki/Q5887338,female,actor; film director; translator,Iran,Tehran,1946-09-26T00:00:00Z,,
Mina Sadati,https://en.wikipedia.org/wiki/Mina_Sadati,Q5730765,https://www.wikidata.org/wiki/Q5730765,female,actor; film actor,Iran,Tehran,1981-01-01T00:00:00Z,,
Sahra Asadollahi,https://en.wikipedia.org/wiki/Sahra_Asadollahi,Q131857154,https://www.wikidata.org/wiki/Q131857154,female,actor,Iran,,1991-08-27T00:00:00Z,,
Golchehreh Sajadiye,https://en.wikipedia.org/wiki/Golchehreh_Sajadiye,Q5578475,https://www.wikidata.org/wiki/Q5578475,female,actor,Iran,Arak,1954-08-14T00:00:00Z,,
